colony_id,spp_code,growth_form,log_area_cm2,mortality,year
168,AM,corymbose,-4.327402904,1,5_6
169,AM,corymbose,-2.556256994,0,5_6
170,AM,corymbose,-3.602906594,0,5_6
173,AM,corymbose,-3.358720842,0,5_6
174,AM,corymbose,-1.944508773,0,5_6
175,AM,corymbose,-3.167749979,0,5_6
178,AM,corymbose,-3.282715893,1,5_6
179,AM,corymbose,-3.489965529,0,5_6
182,AM,corymbose,-3.482717166,0,5_6
183,AM,corymbose,-3.48167316,0,5_6
184,AM,corymbose,-4.100524896,1,5_6
186,AM,corymbose,-3.640911244,0,5_6
187,AM,corymbose,-3.79359864,1,5_6
188,AM,corymbose,-3.916477689,0,5_6
190,AN,corymbose,-3.526468751,1,3_4
191,AN,corymbose,-2.963906069,0,3_4
192,AN,corymbose,-2.455071282,0,3_4
193,AN,corymbose,-2.73577495,0,3_4
194,AN,corymbose,-3.832952984,0,3_4
195,AN,corymbose,-3.384743021,0,3_4
196,AN,corymbose,-3.434745332,0,3_4
197,AN,corymbose,-3.5000387,0,3_4
198,AN,corymbose,-2.751975379,0,3_4
199,AN,corymbose,-3.763357291,0,3_4
200,AN,corymbose,-2.763221805,1,3_4
201,AN,corymbose,-2.790852791,0,3_4
202,AN,corymbose,-3.033085097,1,3_4
203,AN,corymbose,-4.209394341,0,3_4
204,AN,corymbose,-2.229745498,0,3_4
205,AN,corymbose,-3.464435326,0,3_4
206,AN,corymbose,-3.953214108,1,3_4
207,AN,corymbose,-3.759355309,0,3_4
208,AN,corymbose,-4.041892777,0,3_4
209,AN,corymbose,-2.520047633,0,3_4
210,AN,corymbose,-4.490970647,1,3_4
211,AN,corymbose,-3.891991014,0,3_4
212,AN,corymbose,-2.667142435,1,3_4
213,AN,corymbose,-4.204534716,0,3_4
214,AN,corymbose,-2.701571501,0,3_4
216,AN,corymbose,-4.698594382,1,3_4
217,AN,corymbose,-3.773956685,0,3_4
218,AN,corymbose,-2.929980472,0,3_4
219,AN,corymbose,-2.782488442,0,3_4
220,AN,corymbose,-3.535239171,0,3_4
221,AN,corymbose,-3.440240367,0,3_4
222,AN,corymbose,-2.769706747,0,3_4
223,AN,corymbose,-3.127044891,0,3_4
224,AN,corymbose,-3.802579638,0,3_4
225,AN,corymbose,-2.614454517,0,3_4
226,AN,corymbose,-2.958977062,0,3_4
227,AN,corymbose,-2.821380397,0,3_4
228,AN,corymbose,-2.92716352,0,3_4
229,AN,corymbose,-2.531793918,0,3_4
230,AN,corymbose,-2.239429456,0,3_4
191,AN,corymbose,-3.284797837,0,4_5
192,AN,corymbose,-2.196438641,0,4_5
193,AN,corymbose,-2.659725175,0,4_5
194,AN,corymbose,-3.659810693,0,4_5
195,AN,corymbose,-3.47372232,0,4_5
196,AN,corymbose,-3.0111859,0,4_5
197,AN,corymbose,-3.19578586,0,4_5
198,AN,corymbose,-2.953960223,0,4_5
199,AN,corymbose,-4.698462137,0,4_5
201,AN,corymbose,-2.855830525,0,4_5
203,AN,corymbose,-4.040794703,0,4_5
204,AN,corymbose,-2.253438005,0,4_5
205,AN,corymbose,-3.516471963,1,4_5
207,AN,corymbose,-4.201327757,1,4_5
208,AN,corymbose,-3.8148756,0,4_5
209,AN,corymbose,-2.885657115,1,4_5
211,AN,corymbose,-4.679433206,1,4_5
213,AN,corymbose,-3.755976529,0,4_5
214,AN,corymbose,-2.319509736,0,4_5
217,AN,corymbose,-3.780405462,0,4_5
218,AN,corymbose,-3.260651996,0,4_5
219,AN,corymbose,-2.91434555,0,4_5
220,AN,corymbose,-4.038002592,0,4_5
221,AN,corymbose,-3.083143293,0,4_5
222,AN,corymbose,-2.855613147,0,4_5
223,AN,corymbose,-2.966050392,0,4_5
224,AN,corymbose,-3.291530911,0,4_5
225,AN,corymbose,-2.602457295,0,4_5
226,AN,corymbose,-3.073510305,0,4_5
227,AN,corymbose,-2.781799524,0,4_5
228,AN,corymbose,-2.981547955,0,4_5
229,AN,corymbose,-2.585414435,0,4_5
230,AN,corymbose,-2.180765717,0,4_5
231,AN,corymbose,-2.556679335,0,4_5
232,AN,corymbose,-4.501440285,0,4_5
233,AN,corymbose,-3.024902345,0,4_5
235,AN,corymbose,-4.532529852,0,4_5
191,AN,corymbose,-3.517801957,0,5_6
192,AN,corymbose,-2.061319941,1,5_6
193,AN,corymbose,-2.601196575,0,5_6
194,AN,corymbose,-3.923812425,0,5_6
195,AN,corymbose,-4.301634822,1,5_6
196,AN,corymbose,-3.120304149,0,5_6
197,AN,corymbose,-2.983297648,0,5_6
198,AN,corymbose,-3.447007861,0,5_6
199,AN,corymbose,-3.833687387,0,5_6
201,AN,corymbose,-3.655382643,0,5_6
203,AN,corymbose,-4.027836649,0,5_6
204,AN,corymbose,-2.069798442,1,5_6
208,AN,corymbose,-2.856802835,1,5_6
213,AN,corymbose,-6.6676952,1,5_6
214,AN,corymbose,-2.190194127,0,5_6
217,AN,corymbose,-4.831586307,0,5_6
218,AN,corymbose,-3.249172795,0,5_6
219,AN,corymbose,-2.808181841,0,5_6
220,AN,corymbose,-3.763618571,0,5_6
221,AN,corymbose,-2.859422678,0,5_6
222,AN,corymbose,-2.758698808,1,5_6
223,AN,corymbose,-3.072589532,1,5_6
224,AN,corymbose,-3.144939682,0,5_6
225,AN,corymbose,-2.546579252,0,5_6
226,AN,corymbose,-3.7081907,1,5_6
227,AN,corymbose,-3.14478843,0,5_6
228,AN,corymbose,-2.924441927,1,5_6
230,AN,corymbose,-2.26155906,0,5_6
231,AN,corymbose,-2.424202078,0,5_6
232,AN,corymbose,-4.074841738,0,5_6
233,AN,corymbose,-5.858595628,1,5_6
235,AN,corymbose,-4.099384832,0,5_6
364,AN,corymbose,-5.646559653,1,5_6
236,AR,staghorn,-2.578384039,0,3_4
237,AR,staghorn,-3.184411373,0,3_4
238,AR,staghorn,-2.886762284,0,3_4
239,AR,staghorn,-3.354426968,0,3_4
240,AR,staghorn,-4.776616289,1,3_4
241,AR,staghorn,-2.935794257,0,3_4
