colony_id,spp,species,year,area_cm2,surv
321,GP,Goniastrea pectinata,2014,8.799406814,0
323,GP,Goniastrea pectinata,2011,13.35168649,1
323,GP,Goniastrea pectinata,2012,29.30549988,1
323,GP,Goniastrea pectinata,2013,20.84840927,1
323,GP,Goniastrea pectinata,2014,27.06892616,0
324,GP,Goniastrea pectinata,2009,46.79119759,1
324,GP,Goniastrea pectinata,2010,44.83570613,1
324,GP,Goniastrea pectinata,2012,3.225499794,1
324,GP,Goniastrea pectinata,2013,6.992197387,1
324,GP,Goniastrea pectinata,2014,6.977564428,0
325,GP,Goniastrea pectinata,2009,283.2064092,1
325,GP,Goniastrea pectinata,2010,243.0344772,1
325,GP,Goniastrea pectinata,2011,322.261075,1
325,GP,Goniastrea pectinata,2012,344.4716877,1
325,GP,Goniastrea pectinata,2013,298.5885228,1
325,GP,Goniastrea pectinata,2014,309.9991842,0
326,GP,Goniastrea pectinata,2009,133.5807627,1
326,GP,Goniastrea pectinata,2010,183.3187752,1
326,GP,Goniastrea pectinata,2011,139.9420187,1
326,GP,Goniastrea pectinata,2012,203.1455822,1
326,GP,Goniastrea pectinata,2013,192.9219557,1
326,GP,Goniastrea pectinata,2014,223.7037999,0
327,GP,Goniastrea pectinata,2009,26.16474159,1
327,GP,Goniastrea pectinata,2010,26.44164323,1
327,GP,Goniastrea pectinata,2011,36.64392617,0
328,GP,Goniastrea pectinata,2009,63.55834164,0
330,GP,Goniastrea pectinata,2010,25.13464238,1
330,GP,Goniastrea pectinata,2012,26.56511084,1
330,GP,Goniastrea pectinata,2013,25.0705392,1
330,GP,Goniastrea pectinata,2014,40.14450993,0
331,GR,Goniastrea retiformis,2009,36.60314779,1
331,GR,Goniastrea retiformis,2010,36.70435005,1
331,GR,Goniastrea retiformis,2011,17.0238082,1
331,GR,Goniastrea retiformis,2012,42.11577067,1
331,GR,Goniastrea retiformis,2013,14.49246514,1
331,GR,Goniastrea retiformis,2014,15.83073963,0
332,GR,Goniastrea retiformis,2009,411.8532064,1
332,GR,Goniastrea retiformis,2010,450.4107383,1
332,GR,Goniastrea retiformis,2011,446.4403549,1
332,GR,Goniastrea retiformis,2012,464.4539468,1
332,GR,Goniastrea retiformis,2013,492.5842539,1
332,GR,Goniastrea retiformis,2014,381.2928269,0
333,GR,Goniastrea retiformis,2009,37.50693414,1
333,GR,Goniastrea retiformis,2010,45.98095462,1
333,GR,Goniastrea retiformis,2011,49.99890648,1
333,GR,Goniastrea retiformis,2012,55.66371562,1
333,GR,Goniastrea retiformis,2013,50.75889113,1
333,GR,Goniastrea retiformis,2014,63.29690653,0
334,GR,Goniastrea retiformis,2009,44.43346137,0
335,GR,Goniastrea retiformis,2009,517.9074885,1
335,GR,Goniastrea retiformis,2010,651.8984218,1
335,GR,Goniastrea retiformis,2011,375.9852719,1
335,GR,Goniastrea retiformis,2012,314.9254739,1
335,GR,Goniastrea retiformis,2013,333.6747877,1
335,GR,Goniastrea retiformis,2014,412.9873814,0
336,GR,Goniastrea retiformis,2009,216.8340886,1
336,GR,Goniastrea retiformis,2010,221.8871253,1
336,GR,Goniastrea retiformis,2012,301.1694396,1
336,GR,Goniastrea retiformis,2013,318.4136855,1
336,GR,Goniastrea retiformis,2014,331.5852933,1
336,GR,Goniastrea retiformis,2015,346.6003351,NA
337,GR,Goniastrea retiformis,2009,171.5712728,1
337,GR,Goniastrea retiformis,2010,182.6852115,1
337,GR,Goniastrea retiformis,2011,184.2528541,1
337,GR,Goniastrea retiformis,2012,241.0825802,1
337,GR,Goniastrea retiformis,2013,240.817927,1
337,GR,Goniastrea retiformis,2014,331.4184451,0
338,GR,Goniastrea retiformis,2009,188.5581892,1
338,GR,Goniastrea retiformis,2010,230.9411115,1
338,GR,Goniastrea retiformis,2011,260.4730058,1
338,GR,Goniastrea retiformis,2012,234.7662712,1
338,GR,Goniastrea retiformis,2013,252.5400033,1
338,GR,Goniastrea retiformis,2014,199.5172809,0
339,GR,Goniastrea retiformis,2009,189.8358438,1
339,GR,Goniastrea retiformis,2010,102.9434655,1
339,GR,Goniastrea retiformis,2011,107.5429631,1
339,GR,Goniastrea retiformis,2013,89.87706129,1
339,GR,Goniastrea retiformis,2014,100.1838141,0
340,GR,Goniastrea retiformis,2009,173.4950372,1
340,GR,Goniastrea retiformis,2010,132.0983052,1
340,GR,Goniastrea retiformis,2011,185.3552866,1
340,GR,Goniastrea retiformis,2012,169.8718065,1
340,GR,Goniastrea retiformis,2013,208.3162359,1
340,GR,Goniastrea retiformis,2014,213.9528698,0
341,GR,Goniastrea retiformis,2009,457.3946327,1
341,GR,Goniastrea retiformis,2010,354.3281987,1
341,GR,Goniastrea retiformis,2011,448.0958051,1
341,GR,Goniastrea retiformis,2012,439.1678428,1
341,GR,Goniastrea retiformis,2013,411.6320073,1
341,GR,Goniastrea retiformis,2014,458.2319215,0
342,GR,Goniastrea retiformis,2009,177.6798073,1
342,GR,Goniastrea retiformis,2010,168.0588604,1
342,GR,Goniastrea retiformis,2011,183.5899878,1
342,GR,Goniastrea retiformis,2012,223.8518624,1
342,GR,Goniastrea retiformis,2013,238.1515729,1
342,GR,Goniastrea retiformis,2014,220.4089393,1
342,GR,Goniastrea retiformis,2015,241.6253989,NA
343,GR,Goniastrea retiformis,2009,182.6411982,1
343,GR,Goniastrea retiformis,2010,200.3085606,1
343,GR,Goniastrea retiformis,2011,174.4337648,1
343,GR,Goniastrea retiformis,2012,224.6963488,1
343,GR,Goniastrea retiformis,2013,236.7777631,1
343,GR,Goniastrea retiformis,2014,268.417476,0
344,GR,Goniastrea retiformis,2009,212.1357067,1
344,GR,Goniastrea retiformis,2010,177.8851854,1
344,GR,Goniastrea retiformis,2011,158.7419609,1
344,GR,Goniastrea retiformis,2012,108.8836877,1
344,GR,Goniastrea retiformis,2013,89.51600538,1
344,GR,Goniastrea retiformis,2014,103.0529887,0
345,GR,Goniastrea retiformis,2009,196.6999319,1
345,GR,Goniastrea retiformis,2010,172.7124562,1
345,GR,Goniastrea retiformis,2011,249.6889252,1
345,GR,Goniastrea retiformis,2012,191.7867582,1
345,GR,Goniastrea retiformis,2013,274.2826615,1
345,GR,Goniastrea retiformis,2014,314.7057241,0
346,GR,Goniastrea retiformis,2009,192.9442888,1
346,GR,Goniastrea retiformis,2010,192.1898323,1
346,GR,Goniastrea retiformis,2011,161.6275295,1
346,GR,Goniastrea retiformis,2012,141.4363671,1
346,GR,Goniastrea retiformis,2013,115.5214396,1
346,GR,Goniastrea retiformis,2014,82.40952018,0
347,GR,Goniastrea retiformis,2009,224.617495,1
347,GR,Goniastrea retiformis,2010,199.0035677,1
347,GR,Goniastrea retiformis,2011,149.0407309,1
347,GR,Goniastrea retiformis,2012,171.6622816,1
347,GR,Goniastrea retiformis,2013,179.4303422,1
347,GR,Goniastrea retiformis,2014,202.9486138,0
348,GR,Goniastrea retiformis,2009,109.1557738,1
348,GR,Goniastrea retiformis,2011,79.06559231,1
348,GR,Goniastrea retiformis,2012,58.00656987,1
348,GR,Goniastrea retiformis,2013,60.66704428,1
348,GR,Goniastrea retiformis,2014,62.89760797,0
349,GR,Goniastrea retiformis,2009,71.4394997,1
349,GR,Goniastrea retiformis,2010,81.61343614,1
349,GR,Goniastrea retiformis,2011,33.31301475,0
350,GR,Goniastrea retiformis,2009,247.4233397,1
350,GR,Goniastrea retiformis,2010,235.8006589,1
