"","spp","samp","lam"
"392","Ana",36,0.728087863610582
"393","Aro",36,1.09642216876505
"394","Asp",36,1.17313414348716
"395","Gpe",36,0.955958426493512
"396","Gre",36,0.978735110076247
"397","Acy",37,1.46656171706951
"398","Adi",37,1.04668474232733
"399","Ahu",37,0.898209960777638
"400","Ahy",37,1.71015314823419
"401","Ain",37,1.14001724132694
"402","Ami",37,0.657972332513923
"403","Ana",37,0.789064260934498
"404","Aro",37,1.04767477972088
"405","Asp",37,1.13976919363212
"406","Gpe",37,0.954998447877657
"407","Gre",37,1.01116827025674
"408","Acy",38,1.45290307423395
"409","Adi",38,0.991244385669125
"410","Ahu",38,0.882285824576998
"411","Ahy",38,1.71261141174529
"412","Ain",38,1.19604948063219
"413","Ami",38,0.703676137690898
"414","Ana",38,0.747558824014598
"415","Aro",38,1.10768068960728
"416","Asp",38,1.19341821489601
"417","Gpe",38,0.945408972711466
"418","Gre",38,1.04267207284561
"419","Acy",39,1.45716860926625
"420","Adi",39,0.909488136027277
"421","Ahu",39,0.871318266595648
"422","Ahy",39,1.68816269273075
"423","Ain",39,1.36236752428681
"424","Ami",39,0.578520772137456
"425","Ana",39,0.731709351356345
"426","Aro",39,1.15814099073042
"427","Asp",39,1.16973046838086
"428","Gpe",39,0.939290882223989
"429","Gre",39,1.02670628174946
"430","Acy",40,1.26485702783058
"431","Adi",40,0.916059637848965
"432","Ahu",40,0.872387273246428
"433","Ahy",40,1.91768565822821
"434","Ain",40,1.32207204090314
"435","Ami",40,0.668171459216409
"436","Ana",40,0.741525886436268
"437","Aro",40,1.04438679754382
"438","Asp",40,1.20904693257606
"439","Gpe",40,1.1073981663913
"440","Gre",40,1.08021217952336
"441","Acy",41,1.51443189758769
"442","Adi",41,0.949007798940152
"443","Ahu",41,0.916445096933678
"444","Ahy",41,1.8041355779959
"445","Ain",41,1.09571723682969
"446","Ami",41,0.62999702438106
"447","Ana",41,0.733037815351536
"448","Aro",41,1.10561873793586
"449","Asp",41,1.10375102396994
"450","Gpe",41,0.954907935247804
"451","Gre",41,0.987752783071639
"452","Acy",42,1.49009207322178
"453","Adi",42,0.906294385657605
"454","Ahu",42,0.923270912940107
"455","Ahy",42,1.68457222763242
"456","Ain",42,1.1907687153085
